MONTH,RING,Sphere,RAG Status,1st Draft Due,2nd Draft Due,Post / Pub Date,COMMENT,Time ,Instant or scheduled,Manager Approval ,Posting Manager,Content,Assigned,Type,Series,Content/Title,Content Detail,Platform,Content Type,Live Sessions,Target region,Target Language
Apr,72D Social Media,Hinly SM,FALSE,13-Apr,16-Apr,20-Apr,,,Scheduled,FALSE,FALSE,News Article,Hinly,Entertainment,Road to Cannes,Content,Country Coverage:  Canada @ Cannes,IG + FB,Articles and photos,NA,Global,English
Apr,72D Social Media,Hannah SM,FALSE,2019-04-13,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,News Article,Hannah,Entertainment,Connexion Francais,Content,Brief snapshot on a French filmmaker or production company,IG + FB,Blog,NA,Global,English
Apr,72D Social Media,Hannah SM,FALSE,2019-04-15,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,Film Locations,Hannah,Entertainment,Connexion Francais,Content,Fun fact about France/the French film industry,IG + FB,Photo,FB LIVE,Global,English
Apr,72D Social Media,Hannah SM,FALSE,2019-04-17,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,Facts,Hannah,Entertainment,Connexion Francais,Content,Weird/funny France-isms,IG + FB,Photo,NA,Global,English
Apr,72D Social Media,Hannah SM,FALSE,2019-04-19,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,Behind the Scenes,Hannah,Entertainment,Connexion Francais,Content,Article summary/hype,IG + FB,Teaser,NA,Global,English
Apr,72D Social Media,CANNES,FALSE,2019-04-20,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,News Article,Hannah,Entertainment,Road to Cannes,Content,Heels on the Red Carpet insident last year,IG + FB,Video,NA,Global,English
Apr,72D Social Media,CANNES,FALSE,2019-03-16,,,,,Scheduled,FALSE,FALSE,Cannes Promo,Susan,Entertainment,Road to Cannes,Road to Cannes,Kate Blanchet History at the Festival,IG + FB,Video and Photo,NA,Global,English
Apr,72D Social Media,Hannah SM,FALSE,2019-04-22,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,Film Locations,Hannah,Entertainment,Connexion Francais,Content,Making and/or eating a classic French dish,IG + FB,Photo,NA,Global,English
Apr,72D Social Media,Hannah SM,FALSE,2019-04-24,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,Facts,Hannah,Entertainment,Connexion Francais,Content,Short teaser about the web series,IG + FB,Teaser,NA,Global,English
Apr,72D Social Media,Hannah SM,FALSE,2019-04-26,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,Behind the Scenes,Hannah,Entertainment,Connexion Francais,Content,Brief snapshot on a French filmmaker or production company,IG + FB,Blog,NA,Global,English
Apr,72D Social Media,CANNES,FALSE,2019-04-27,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,News Article,Hannah,Entertainment,Road to Cannes,Content,Most anticipated screenings this year,IG + FB,Photo,Facebook,Global,English
Apr,72D Social Media,Hinly SM,FALSE,27-Apr,Apr 29th,04-May,,,Scheduled,FALSE,FALSE,News Article,Hinly,Entertainment,Hollywood North,Content,800 word article and photos,IG + FB,Articles and photos,,Global,English
Apr,72D Social Media,Hannah SM,FALSE,2019-04-29,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,Film Locations,Hannah,Entertainment,Connexion Francais,Content,Weird/funny France-isms,IG + FB,Photo,,Global,English
May,72D Social Media,CANNES,FALSE,2019-05-01,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,Fashion At Cannes,Hannah,Entertainment,72D Festival Coverage,Fashion At Cannes,UPDATE of Fashion @ Cannes,IG + FB,Teaser,,Global,English
May,72D Social Media,CANNES,FALSE,2019-05-03,,,,,Scheduled,FALSE,FALSE,Films At Cannes,TBD,Entertainment,72D Festival Coverage,Films At Cannes,Summarizing each movie up for an award,IG + FB,Video and Photo,,Global,English
May,72D Social Media,CANNES,FALSE,2019-05-04,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,The Festival,TBD,Entertainment,72D Festival Coverage,The Festival,About this Jury Member,IG + FB,Photo,,Global,English
May,72D Social Media,CANNES,FALSE,2019-05-06,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,The Market,TBD,Entertainment,72D Festival Coverage,The Market,Market HIghlight ,IG + FB,Teaser,,Global,English
May,72D Social Media,CANNES,FALSE,2019-05-08,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,Women's Movement,TBD,Entertainment,72D Festival Coverage,Women's Movement,Profile about the Female Jurors,IG + FB,Blog,,Global,English
May,72D Social Media,CANNES,FALSE,2019-05-10,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,Country Coverage,TBD,Entertainment,72D Festival Coverage,Country Coverage,India @ Cannes,IG + FB,Photo,,Global,English
May,72D Social Media,CANNES,FALSE,May 11th,14-May,18-May,,,Scheduled,FALSE,FALSE,The Market,TBD,Entertainment,72D Festival Coverage,Cannes Promo,Market HIghlight ,IG + FB,Articles and photos,,Global,English
May,72D Social Media,CANNES,FALSE,2019-05-13,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,Fashion At Cannes,TBD,Entertainment,72D Festival Coverage,Cannes Promo,Men's Fashion at Cannes,IG + FB,Photo,,Global,English
May,72D Social Media,CANNES,FALSE,2019-05-13,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,72 Dragons At Cannes,Susan,Entertainment,72D Festival Coverage,Fashion At Cannes,What Im wearing to Cannes - behind the scenes,IG + FB,Photo,,Global,English
May,72D Social Media,CANNES,FALSE,2019-05-13,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,72 Dragons At Cannes,Hannah,Entertainment,72D Festival Coverage,Fashion At Cannes,What Hannah is packing,IG + FB,Photo,,Global,English
May,72D Social Media,CANNES,FALSE,2019-05-13,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,72 Dragons At Cannes,Hinly,Entertainment,72D Festival Coverage,Fashion At Cannes,What HInly is packing,IG + FB,Photo,,Global,English
May,72D Social Media,CANNES,FALSE,2019-05-13,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,72 Dragons At Cannes,Nagesh,Entertainment,72D Festival Coverage,Fashion At Cannes,What Nagesh is Packing,IG + FB,Photo,,Global,English
May,72D Social Media,CANNES,FALSE,2019-05-15,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,Films At Cannes,TBD,Entertainment,72D Festival Coverage,Fashion At Cannes,Screenings we are anticipating,IG + FB,Photo,,Global,English
May,72D Social Media,CANNES,FALSE,2019-05-15,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,72 Dragons At Cannes,Susan,Entertainment,72D Festival Coverage,Fashion At Cannes,,IG + FB,Photo,,Global,English
May,72D Social Media,CANNES,FALSE,2019-05-15,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,72 Dragons At Cannes,Hannah,Entertainment,72D Festival Coverage,Fashion At Cannes,,IG + FB,Photo,,Global,English
May,72D Social Media,CANNES,FALSE,2019-05-15,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,72 Dragons At Cannes,Hinly,Entertainment,72D Festival Coverage,Fashion At Cannes,,IG + FB,Photo,,Global,English
May,72D Social Media,CANNES,FALSE,2019-05-15,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,72 Dragons At Cannes,Nagesh,Entertainment,72D Festival Coverage,Fashion At Cannes,,IG + FB,Photo,,Global,English
May,72D Social Media,CANNES,FALSE,2019-05-17,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,The Festival,TBD,Entertainment,72D Festival Coverage,Fashion At Cannes,,IG + FB,Photo,,Global,English
May,72D Social Media,CANNES,FALSE,2019-05-17,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,72 Dragons At Cannes,Susan,Entertainment,72D Festival Coverage,Fashion At Cannes,,IG + FB,Photo,,Global,English
May,72D Social Media,CANNES,FALSE,2019-05-17,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,72 Dragons At Cannes,Hannah,Entertainment,72D Festival Coverage,Fashion At Cannes,,IG + FB,Photo,,Global,English
May,72D Social Media,CANNES,FALSE,2019-05-17,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,72 Dragons At Cannes,Hinly,Entertainment,72D Festival Coverage,Fashion At Cannes,,IG + FB,Photo,,Global,English
May,72D Social Media,CANNES,FALSE,2019-05-17,,,,10AM - 2PM EST,Scheduled,FALSE,FALSE,72 Dragons At Cannes,Nagesh,Entertainment,72D Festival Coverage,Fashion At Cannes,,IG + FB,Photo,,Global,English
May,72D Social Media,CANNES,FALSE,2019-05-18,,,,,Scheduled,FALSE,FALSE,The Market,TBD,Entertainment,72D Festival Coverage,Fashion At Cannes,,IG + FB,Video and Photo,,Global,English
May,72D Social Media,CANNES,FALSE,2019-05-18,,,,,Scheduled,FALSE,FALSE,72 Dragons At Cannes,Susan,Entertainment,72D Festival Coverage,Fashion At Cannes,,IG + FB,Video and Photo,,Global,English
May,72D Social Media,CANNES,FALSE,2019-05-18,,,,,Scheduled,FALSE,FALSE,72 Dragons At Cannes,Hannah,Entertainment,72D Festival Coverage,Fashion At Cannes,,IG + FB,Video and Photo,,Global,English
May,72D Social Media,CANNES,FALSE,2019-05-18,,,,,Scheduled,FALSE,FALSE,72 Dragons At Cannes,Hinly,Entertainment,72D Festival Coverage,Fashion At Cannes,,IG + FB,Video and Photo,,Global,English
May,72D Social Media,CANNES,FALSE,2019-05-18,,,,,Scheduled,FALSE,FALSE,72 Dragons At Cannes,Nagesh,Entertainment,72D Festival Coverage,Fashion At Cannes,,IG + FB,Video and Photo,,Global,English
