"Posting ID","Month","Ring","Sphere","RAG","First Draft Due","Second Draft Due","Posting Date","Comment","Posting Time Range","Instant Or Scheduled","Manager Approval","Posting Manager","Content","Assigned To","Post Type","Series","Title","Content Detail","Platform","Content Type","Live Sessions","Target Region","Target Language"
"80","May","72D Social Media","CANNES","FALSE","2019-05-21","","","","10","0","0","0","72 Dragons At Cannes","Nagesh","Entertainment","72D Festival Coverage","Fashion At Cannes","","IG + FB","Blog","","Global","English"
"79","May","72D Social Media","CANNES","FALSE","2019-05-21","","","","10","0","0","0","72 Dragons At Cannes","Hinly","Entertainment","72D Festival Coverage","Fashion At Cannes","","IG + FB","Blog","","Global","English"
"78","May","72D Social Media","CANNES","FALSE","2019-05-21","","","","10","0","0","0","72 Dragons At Cannes","Hannah","Entertainment","72D Festival Coverage","Fashion At Cannes","","IG + FB","Blog","","Global","English"
"77","May","72D Social Media","CANNES","FALSE","2019-05-21","","","","10","0","0","0","72 Dragons At Cannes","Susan","Entertainment","72D Festival Coverage","Fashion At Cannes","","IG + FB","Blog","","Global","English"
"76","May","72D Social Media","CANNES","FALSE","2019-05-21","","","","10","0","0","0","Fashion At Cannes","TBD","Entertainment","72D Festival Coverage","Fashion At Cannes","","IG + FB","Blog","","Global","English"
"75","May","72D Social Media","CANNES","FALSE","2019-05-20","","","","10","0","0","0","72 Dragons At Cannes","Nagesh","Entertainment","72D Festival Coverage","Fashion At Cannes","","IG + FB","Blog","","Global","English"
"74","May","72D Social Media","CANNES","FALSE","2019-05-20","","","","10","0","0","0","72 Dragons At Cannes","Hinly","Entertainment","72D Festival Coverage","Fashion At Cannes","","IG + FB","Blog","","Global","English"
"73","May","72D Social Media","CANNES","FALSE","2019-05-20","","","","10","0","0","0","72 Dragons At Cannes","Hannah","Entertainment","72D Festival Coverage","Fashion At Cannes","","IG + FB","Blog","","Global","English"
"72","May","72D Social Media","CANNES","FALSE","2019-05-20","","","","10","0","0","0","72 Dragons At Cannes","Susan","Entertainment","72D Festival Coverage","Fashion At Cannes","","IG + FB","Blog","","Global","English"
"71","May","72D Social Media","CANNES","FALSE","2019-05-20","","","","10","0","0","0","Country Coverage","TBD","Entertainment","72D Festival Coverage","Fashion At Cannes","","IG + FB","Blog","","Global","English"
